Sales Person,Country,Product,Date,Amount,Boxes Shipped,Amount
Jan Morforth,Canada,70% Dark Bites,28-01-2022,"$6,578.55",312,"6,578.55"
Rafaelita Blaksland,India,Smooth Sliky Salty,28-01-2022,"$1,961.82",80,"1,961.82"
Madelene Upcott,USA,Baker's Choco Chips,28-01-2022,"$6,541.75",141,"6,541.75"
Dotty Strutley,New Zealand,White Choc,28-01-2022,"$8,970",277,"8,970"
Curtice Advani,New Zealand,85% Dark Bars,28-01-2022,"$9,022",256,"9,022"
Dennison Crosswaite,USA,Fruit & Nut Bars,28-01-2022,"$3,219",133,"3,219"
Beverie Moffet,Australia,Milk Bars,29-01-2022,"$5,873",10,"5,873"
Jehu Rudeforth,UK,After Nines,29-01-2022,"$2,599",35,"2,599"
Wilone O'Kielt,India,Choco Coated Almonds,29-01-2022,"$8,410",254,"8,410"
Dotty Strutley,Australia,Spicy Special Slims,29-01-2022,"$2,473",192,"2,473"
Kelci Walkden,India,Milk Bars,30-01-2022,"$1,142.41",111,"1,142.41"
Beverie Moffet,India,Manuka Honey Choco,30-01-2022,"$11,462.32",172,"11,462.32"
Jan Morforth,New Zealand,Orange Choco,30-01-2022,"$7,233",109,"7,233"
Roddy Speechley,Canada,White Choc,31-01-2022,"$5,887.00",268,"5,887.00"
Jan Morforth,New Zealand,Mint Chip Choco,31-01-2022,"$5,209",225,"5,209"
Gigi Bohling,India,Raspberry Choco,31-01-2022,"$7,598",224,"7,598"
Curtice Advani,India,Manuka Honey Choco,31-01-2022,"$2,681",147,"2,681"
Rafaelita Blaksland,Canada,Caramel Stuffed Bars,01-02-2022,"$8,269",250,"8,269"
Jehu Rudeforth,UK,Baker's Choco Chips,01-02-2022,"$5,698",234,"5,698"
Ches Bonnell,India,Caramel Stuffed Bars,01-02-2022,"$2,764",157,"2,764"
Kelci Walkden,USA,50% Dark Bites,01-02-2022,$431,384,431
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,02-02-2022,"$6,451",395,"6,451"
Husein Augar,Canada,Eclairs,02-02-2022,"$3,940",371,"3,940"
Marney O'Breen,New Zealand,After Nines,03-02-2022,"$1,561.00",44,"1,561.00"
Barr Faughny,Canada,Drinking Coco,03-02-2022,"$6,523.34",245,"6,523.34"
Dotty Strutley,Australia,White Choc,03-02-2022,"$6,969.38",102,"6,969.38"
Husein Augar,Australia,Manuka Honey Choco,03-02-2022,"$9,075",86,"9,075"
Gunar Cockshoot,India,50% Dark Bites,03-02-2022,"$1,261",44,"1,261"
Gunar Cockshoot,Australia,99% Dark & Pure,03-02-2022,"$5,533",170,"5,533"
Beverie Moffet,New Zealand,Smooth Sliky Salty,04-02-2022,"$2,387.00",59,"2,387.00"
Dotty Strutley,New Zealand,Orange Choco,04-02-2022,"$2,030.00",146,"2,030.00"
Roddy Speechley,Australia,Almond Choco,04-02-2022,"$5,032.45",79,"5,032.45"
Wilone O'Kielt,New Zealand,Fruit & Nut Bars,04-02-2022,"$6,924.52",94,"6,924.52"
Van Tuxwell,Australia,Milk Bars,04-02-2022,"$2,313",213,"2,313"
Camilla Castle,UK,Mint Chip Choco,04-02-2022,"$2,797",385,"2,797"
Husein Augar,Australia,Organic Choco Syrup,05-02-2022,$938.00,158,938
Madelene Upcott,UK,Caramel Stuffed Bars,05-02-2022,$190.24,156,190.24
Madelene Upcott,New Zealand,Raspberry Choco,05-02-2022,"$3,169",88,"3,169"
Wilone O'Kielt,Australia,Smooth Sliky Salty,05-02-2022,"$8,799",356,"8,799"
Brien Boise,UK,Manuka Honey Choco,05-02-2022,"$8,989",353,"8,989"
Kelci Walkden,India,Drinking Coco,06-02-2022,"$7,532.00",234,"7,532.00"
Andria Kimpton,New Zealand,Organic Choco Syrup,06-02-2022,"$3,659",240,"3,659"
Curtice Advani,India,70% Dark Bites,07-02-2022,"$2,976",383,"2,976"
Dotty Strutley,Canada,Manuka Honey Choco,08-02-2022,"$11,550.00",111,"11,550.00"
Kaine Padly,USA,Milk Bars,08-02-2022,"$15,491.00",58,"15,491.00"
Marney O'Breen,India,Caramel Stuffed Bars,08-02-2022,"$4,997.82",83,"4,997.82"
Beverie Moffet,USA,Smooth Sliky Salty,08-02-2022,"$2,787.72",342,"2,787.72"
Brien Boise,UK,White Choc,08-02-2022,"$3,218",245,"3,218"
Madelene Upcott,New Zealand,70% Dark Bites,08-02-2022,$674,386,674
Gunar Cockshoot,New Zealand,Almond Choco,09-02-2022,"$5,173.00",129,"5,173.00"
Kelci Walkden,USA,Drinking Coco,09-02-2022,"$7,013.61",170,"7,013.61"
Dotty Strutley,UK,Caramel Stuffed Bars,09-02-2022,"$6,180.45",230,"6,180.45"
Rafaelita Blaksland,UK,Eclairs,09-02-2022,"$1,608.04",75,"1,608.04"
Brien Boise,Australia,Fruit & Nut Bars,09-02-2022,"$3,689",50,"3,689"
Curtice Advani,Canada,Almond Choco,09-02-2022,"$1,501",363,"1,501"
Ches Bonnell,New Zealand,Mint Chip Choco,09-02-2022,"$1,319",59,"1,319"
Marney O'Breen,USA,Almond Choco,09-02-2022,$612,83,612
Camilla Castle,Australia,85% Dark Bars,10-02-2022,"$3,654.00",14,"3,654.00"
Gunar Cockshoot,Australia,After Nines,10-02-2022,"$3,400.26",77,"3,400.26"
Rafaelita Blaksland,Australia,50% Dark Bites,10-02-2022,"$8,531",351,"8,531"
Rafaelita Blaksland,India,Smooth Sliky Salty,10-02-2022,"$2,494",10,"2,494"
Dotty Strutley,USA,99% Dark & Pure,10-02-2022,$353,21,353
Beverie Moffet,USA,70% Dark Bites,11-02-2022,"$2,341.80",117,"2,341.80"
Jehu Rudeforth,New Zealand,50% Dark Bites,11-02-2022,"$6,441",315,"6,441"
Ches Bonnell,New Zealand,Caramel Stuffed Bars,12-02-2022,"$7,588.00",42,"7,588.00"
Marney O'Breen,Canada,Spicy Special Slims,12-02-2022,"$3,563.09",344,"3,563.09"
Oby Sorrel,India,Smooth Sliky Salty,12-02-2022,"$10,901.65",116,"10,901.65"
Madelene Upcott,Australia,Raspberry Choco,12-02-2022,"$7,023.94",89,"7,023.94"
Andria Kimpton,Australia,Manuka Honey Choco,12-02-2022,"$8,561",108,"8,561"
Jan Morforth,India,Caramel Stuffed Bars,12-02-2022,"$6,360",203,"6,360"
Mallorie Waber,UK,Mint Chip Choco,13-02-2022,"$2,276",151,"2,276"
Gunar Cockshoot,USA,Organic Choco Syrup,14-02-2022,"$3,266",171,"3,266"
Kaine Padly,UK,Manuka Honey Choco,15-02-2022,"$7,133.00",118,"7,133.00"
Wilone O'Kielt,UK,Drinking Coco,15-02-2022,"$3,638.66",59,"3,638.66"
Barr Faughny,Australia,Caramel Stuffed Bars,15-02-2022,"$6,884",73,"6,884"
Kaine Padly,USA,50% Dark Bites,15-02-2022,"$7,463",66,"7,463"
Mallorie Waber,New Zealand,Mint Chip Choco,15-02-2022,"$4,056",52,"4,056"
Oby Sorrel,UK,70% Dark Bites,15-02-2022,"$9,025",282,"9,025"
Brien Boise,UK,Peanut Butter Cubes,16-02-2022,"$15,330.00",30,"15,330.00"
Van Tuxwell,Canada,Drinking Coco,16-02-2022,"$4,919.25",746,"4,919.25"
Kelci Walkden,Australia,Drinking Coco,16-02-2022,"$1,370.19",58,"1,370.19"
Andria Kimpton,UK,White Choc,16-02-2022,"$6,014",329,"6,014"
Dennison Crosswaite,Australia,Organic Choco Syrup,16-02-2022,"$1,569",13,"1,569"
Brien Boise,UK,Almond Choco,17-02-2022,$105.00,125,105
Marney O'Breen,UK,99% Dark & Pure,17-02-2022,"$9,124.16",209,"9,124.16"
Karlen McCaffrey,USA,Milk Bars,17-02-2022,"$4,764.56",7,"4,764.56"
Oby Sorrel,New Zealand,Milk Bars,17-02-2022,"$5,074.86",201,"5,074.86"
Rafaelita Blaksland,New Zealand,Eclairs,18-02-2022,"$19,481.00",51,"19,481.00"
Jan Morforth,India,Choco Coated Almonds,18-02-2022,"$2,541.00",134,"2,541.00"
Brien Boise,USA,Raspberry Choco,18-02-2022,$683.63,202,683.63
Mallorie Waber,Australia,Orange Choco,18-02-2022,"$15,825.08",284,"15,825.08"
Van Tuxwell,Canada,Raspberry Choco,18-02-2022,"$5,538",355,"5,538"
Roddy Speechley,USA,50% Dark Bites,18-02-2022,"$7,455",89,"7,455"
Brien Boise,Australia,White Choc,19-02-2022,"$5,347.12",23,"5,347.12"
Andria Kimpton,India,Spicy Special Slims,19-02-2022,"$6,682.34",139,"6,682.34"
Kaine Padly,UK,Peanut Butter Cubes,19-02-2022,"$7,477.56",85,"7,477.56"
Wilone O'Kielt,New Zealand,Eclairs,19-02-2022,"$5,197",134,"5,197"
Curtice Advani,Canada,70% Dark Bites,19-02-2022,"$2,142",347,"2,142"
Kelci Walkden,New Zealand,Spicy Special Slims,19-02-2022,"$4,726",199,"4,726"
Camilla Castle,New Zealand,Peanut Butter Cubes,19-02-2022,"$1,028",61,"1,028"
Kaine Padly,Australia,Manuka Honey Choco,20-02-2022,"$2,996.99",280,"2,996.99"
Camilla Castle,India,Peanut Butter Cubes,20-02-2022,"$14,102.83",291,"14,102.83"
Roddy Speechley,New Zealand,Almond Choco,20-02-2022,"$1,152",317,"1,152"
Dennison Crosswaite,USA,Eclairs,21-02-2022,"$2,044.00",90,"2,044.00"
Madelene Upcott,Australia,50% Dark Bites,21-02-2022,"$7,473.14",6,"7,473.14"
Barr Faughny,UK,Raspberry Choco,21-02-2022,$660,190,660
Rafaelita Blaksland,India,After Nines,21-02-2022,$404,248,404
Kaine Padly,Australia,50% Dark Bites,21-02-2022,"$2,225",353,"2,225"
Rafaelita Blaksland,Australia,Raspberry Choco,22-02-2022,"$7,773.64",247,"7,773.64"
Oby Sorrel,Australia,85% Dark Bars,22-02-2022,"$9,313",37,"9,313"
Rafaelita Blaksland,USA,Baker's Choco Chips,22-02-2022,"$4,400",321,"4,400"
Jan Morforth,UK,Caramel Stuffed Bars,23-02-2022,"$3,175.62",507,"3,175.62"
Kelci Walkden,New Zealand,After Nines,23-02-2022,$170.24,75,170.24
Madelene Upcott,India,Raspberry Choco,23-02-2022,"$7,646",291,"7,646"
Brien Boise,New Zealand,White Choc,23-02-2022,"$8,312",163,"8,312"
Van Tuxwell,India,Almond Choco,24-02-2022,"$6,426.00",390,"6,426.00"
Brien Boise,Australia,White Choc,24-02-2022,"$4,879.00",22,"4,879.00"
Ches Bonnell,Canada,Smooth Sliky Salty,24-02-2022,"$10,723.86",125,"10,723.86"
Dennison Crosswaite,USA,Fruit & Nut Bars,24-02-2022,"$9,172",44,"9,172"
Madelene Upcott,Canada,Milk Bars,24-02-2022,"$8,001",111,"8,001"
Jan Morforth,UK,50% Dark Bites,25-02-2022,"$5,250.00",293,"5,250.00"
Ches Bonnell,Australia,Smooth Sliky Salty,25-02-2022,"$7,794.80",54,"7,794.80"
Kaine Padly,Australia,Fruit & Nut Bars,25-02-2022,"$7,684.52",83,"7,684.52"
Dennison Crosswaite,Canada,Spicy Special Slims,25-02-2022,"$2,634.13",234,"2,634.13"
Dennison Crosswaite,Australia,50% Dark Bites,25-02-2022,"$7,618.91",12,"7,618.91"
Madelene Upcott,UK,Fruit & Nut Bars,25-02-2022,"$9,947",171,"9,947"
Dotty Strutley,Canada,After Nines,26-02-2022,$268.30,239,268.3
Dennison Crosswaite,India,Milk Bars,26-02-2022,"$1,712.72",93,"1,712.72"
Dennison Crosswaite,UK,Baker's Choco Chips,26-02-2022,"$2,516.34",293,"2,516.34"
Jan Morforth,Australia,Mint Chip Choco,26-02-2022,"$19,258.41",99,"19,258.41"
Jan Morforth,Australia,70% Dark Bites,26-02-2022,"$6,310.98",366,"6,310.98"
Mallorie Waber,Australia,85% Dark Bars,26-02-2022,"$2,665.28",54,"2,665.28"
Oby Sorrel,Australia,Almond Choco,26-02-2022,"$2,009",267,"2,009"
Curtice Advani,USA,Raspberry Choco,26-02-2022,"$8,798",70,"8,798"
Madelene Upcott,Australia,Raspberry Choco,26-02-2022,"$2,472",395,"2,472"
Brien Boise,India,Raspberry Choco,26-02-2022,"$2,381",397,"2,381"
Jehu Rudeforth,Canada,Spicy Special Slims,27-02-2022,"$1,848.00",27,"1,848.00"
Jan Morforth,UK,Manuka Honey Choco,27-02-2022,"$3,558.89",231,"3,558.89"
Curtice Advani,Australia,99% Dark & Pure,27-02-2022,"$7,550",283,"7,550"
Mallorie Waber,India,White Choc,27-02-2022,$133,296,133
Barr Faughny,USA,White Choc,27-02-2022,"$8,188",158,"8,188"
Marney O'Breen,Canada,Peanut Butter Cubes,28-02-2022,"$6,594.00",91,"6,594.00"
Andria Kimpton,India,Eclairs,28-02-2022,"$2,149.00",84,"2,149.00"
Kelci Walkden,UK,Eclairs,28-02-2022,"$5,029.35",61,"5,029.35"
Dennison Crosswaite,UK,Peanut Butter Cubes,28-02-2022,"$8,431",193,"8,431"
Oby Sorrel,Canada,Raspberry Choco,28-02-2022,"$4,040",145,"4,040"
Marney O'Breen,India,85% Dark Bars,01-03-2022,"$8,027",308,"8,027"
Karlen McCaffrey,Canada,Fruit & Nut Bars,01-03-2022,"$5,898",360,"5,898"
Kaine Padly,UK,Orange Choco,02-03-2022,"$1,960.00",191,"1,960.00"
Brien Boise,Australia,99% Dark & Pure,02-03-2022,"$2,835.00",102,"2,835.00"
Curtice Advani,India,Spicy Special Slims,02-03-2022,$167.33,143,167.33
Oby Sorrel,UK,Milk Bars,02-03-2022,"$8,263",137,"8,263"
Madelene Upcott,USA,Choco Coated Almonds,03-03-2022,"$6,016.32",143,"6,016.32"
Roddy Speechley,India,Spicy Special Slims,04-03-2022,"$10,647.00",173,"10,647.00"
Ches Bonnell,USA,Choco Coated Almonds,04-03-2022,"$8,347",233,"8,347"
Jehu Rudeforth,Australia,After Nines,04-03-2022,"$8,162",42,"8,162"
Van Tuxwell,UK,99% Dark & Pure,04-03-2022,"$2,583",18,"2,583"
Andria Kimpton,Australia,Peanut Butter Cubes,04-03-2022,"$1,133",263,"1,133"
Barr Faughny,UK,Raspberry Choco,04-03-2022,"$7,156",295,"7,156"
Dennison Crosswaite,India,99% Dark & Pure,05-03-2022,"$6,888.00",311,"6,888.00"
Husein Augar,New Zealand,After Nines,05-03-2022,"$7,231.89",8,"7,231.89"
Jehu Rudeforth,Australia,Milk Bars,05-03-2022,"$9,172.13",30,"9,172.13"
Kaine Padly,Australia,Milk Bars,05-03-2022,"$4,251.42",91,"4,251.42"
Gigi Bohling,India,Peanut Butter Cubes,05-03-2022,"$5,159.07",87,"5,159.07"
Marney O'Breen,Australia,Milk Bars,05-03-2022,"$7,060",225,"7,060"
Dotty Strutley,Australia,Almond Choco,05-03-2022,"$7,075",397,"7,075"
Dennison Crosswaite,USA,Almond Choco,06-03-2022,"$11,884.52",82,"11,884.52"
Kelci Walkden,UK,99% Dark & Pure,06-03-2022,"$5,972",231,"5,972"
Madelene Upcott,UK,Fruit & Nut Bars,07-03-2022,"$8,512.00",189,"8,512.00"
Camilla Castle,Australia,99% Dark & Pure,07-03-2022,"$4,977.55",97,"4,977.55"
Dotty Strutley,Australia,Mint Chip Choco,07-03-2022,"$7,571.51",26,"7,571.51"
Curtice Advani,Australia,Organic Choco Syrup,07-03-2022,"$4,937",365,"4,937"
Barr Faughny,Canada,Manuka Honey Choco,07-03-2022,"$5,206",346,"5,206"
Oby Sorrel,New Zealand,85% Dark Bars,07-03-2022,"$5,338",43,"5,338"
Jehu Rudeforth,India,Baker's Choco Chips,08-03-2022,"$2,086.00",74,"2,086.00"
Madelene Upcott,Canada,Milk Bars,08-03-2022,"$3,907.50",86,"3,907.50"
Dotty Strutley,Australia,Eclairs,08-03-2022,"$7,897.59",3,"7,897.59"
Brien Boise,New Zealand,Baker's Choco Chips,08-03-2022,"$6,790.41",26,"6,790.41"
Dotty Strutley,Australia,Eclairs,08-03-2022,"$4,378",151,"4,378"
Wilone O'Kielt,New Zealand,Baker's Choco Chips,08-03-2022,$856,184,856
Kaine Padly,Canada,Peanut Butter Cubes,08-03-2022,"$3,571",216,"3,571"
Mallorie Waber,Australia,Smooth Sliky Salty,08-03-2022,"$9,686",64,"9,686"
Barr Faughny,UK,50% Dark Bites,09-03-2022,$656.44,67,656.44
Mallorie Waber,USA,Eclairs,09-03-2022,"$8,931",96,"8,931"
Andria Kimpton,USA,Caramel Stuffed Bars,09-03-2022,"$7,092",59,"7,092"
Kaine Padly,India,Milk Bars,09-03-2022,"$5,587",373,"5,587"
Barr Faughny,USA,White Choc,10-03-2022,"$7,420.00",163,"7,420.00"
Oby Sorrel,Australia,Almond Choco,10-03-2022,"$6,827.53",241,"6,827.53"
Gunar Cockshoot,Canada,White Choc,10-03-2022,"$8,578.40",15,"8,578.40"
Ches Bonnell,USA,Organic Choco Syrup,10-03-2022,"$7,877",342,"7,877"
Curtice Advani,UK,Drinking Coco,10-03-2022,$245,388,245
Beverie Moffet,Australia,Milk Bars,11-03-2022,$735.00,390,735
Barr Faughny,New Zealand,Manuka Honey Choco,11-03-2022,"$5,917.62",238,"5,917.62"
Jehu Rudeforth,Australia,Spicy Special Slims,11-03-2022,"$5,573.57",372,"5,573.57"
Barr Faughny,India,Baker's Choco Chips,11-03-2022,"$6,670",16,"6,670"
Karlen McCaffrey,India,White Choc,11-03-2022,$557,207,557
Mallorie Waber,Australia,Orange Choco,11-03-2022,"$7,135",253,"7,135"
Ches Bonnell,UK,85% Dark Bars,11-03-2022,"$6,276",127,"6,276"
Kelci Walkden,USA,Orange Choco,12-03-2022,"$1,379.00",138,"1,379.00"
Wilone O'Kielt,Australia,Drinking Coco,12-03-2022,$663.74,285,663.74
Roddy Speechley,USA,Milk Bars,12-03-2022,"$2,588",397,"2,588"
Barr Faughny,New Zealand,Raspberry Choco,13-03-2022,"$6,468.00",66,"6,468.00"
Andria Kimpton,USA,85% Dark Bars,13-03-2022,"$9,475",341,"9,475"
Marney O'Breen,UK,Orange Choco,13-03-2022,"$7,086",177,"7,086"
Beverie Moffet,India,Eclairs,13-03-2022,"$2,005",27,"2,005"
Karlen McCaffrey,USA,White Choc,13-03-2022,"$6,358",307,"6,358"
Karlen McCaffrey,India,85% Dark Bars,14-03-2022,$945.00,83,945
Ches Bonnell,India,Choco Coated Almonds,14-03-2022,"$10,969.00",83,"10,969.00"
Gunar Cockshoot,Australia,Fruit & Nut Bars,14-03-2022,"$7,044.68",21,"7,044.68"
Beverie Moffet,Australia,White Choc,14-03-2022,"$7,137",366,"7,137"
Ches Bonnell,India,99% Dark & Pure,15-03-2022,$503.97,105,503.97
Marney O'Breen,Canada,Caramel Stuffed Bars,15-03-2022,"$1,510.58",602,"1,510.58"
Oby Sorrel,Canada,99% Dark & Pure,15-03-2022,"$4,151.70",424,"4,151.70"
Husein Augar,USA,85% Dark Bars,15-03-2022,$415.67,59,415.67
Marney O'Breen,India,85% Dark Bars,15-03-2022,"$1,583",349,"1,583"
Gigi Bohling,India,Peanut Butter Cubes,15-03-2022,"$1,114",148,"1,114"
